First_Name,DOI,Researcher ID,Annee_Bibliographique,Year of first pub,gender,Paper ID,Author order,nb_auteur,Discipline of paper,Specialty of paper,Relative citation rate,ERegroupement,disc_origin,spec_origin,Country of origin
li,10.1371/journal.pone.0140539,15761026,2015,2010,F,55632595,2,5,Biomedical Research,General Biomedical Research,0.0,China,Engineering and Technology,Computers,China
feng,10.1007/s10916-016-0545-y,49960504,2016,2009,M,57461451,1,7,Professional Fields,Information Science & Library Science,1.799,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
feng,10.3934/dcdsb.2015.20.1609,49960504,2015,2009,M,54813442,4,5,Mathematics,Applied Mathematics,0.629,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
kuai,10.1007/s10916-016-0545-y,40184263,2016,2007,UNK,57461451,3,7,Professional Fields,Information Science & Library Science,1.799,United States,Engineering and Technology,Computers,United States
kuai,10.3934/dcdsb.2015.20.1609,40184263,2015,2007,UNK,54813442,5,5,Mathematics,Applied Mathematics,0.629,United States,Engineering and Technology,Computers,United States
hugo,10.1016/j.eswa.2017.07.040,28450154,2017,2009,M,61412714,1,6,Professional Fields,Management,0.0,Mexico,Engineering and Technology,Computers,Mexico
luis,10.1016/j.eswa.2017.07.040,5076499,2017,2003,M,61412714,6,6,Professional Fields,Management,0.0,Mexico,Engineering and Technology,Computers,nan
a. pastor,10.1016/j.eswa.2017.07.040,23847507,2017,2015,M,61412714,4,6,Professional Fields,Management,0.0,United States,Engineering and Technology,Computers,Mexico
esau,10.1016/j.eswa.2017.07.040,6197648,2017,2006,M,61412714,2,6,Professional Fields,Management,0.0,Mexico,Engineering and Technology,Computers,nan
anamaria dutceac,10.1080/1369118x.2016.1252413,765773,2017,2012,F,60959187,1,2,Social Sciences,Sociology,3.14,Sweden,Social Sciences,Political Science and Public Administration,Sweden
erin a.,10.1080/01973533.2017.1356303,36278158,2017,2015,F,62120101,1,2,Psychology,Social Psychology,0.0,United States,Psychology,Clinical Psychology,United States
jason p.,10.1080/01973533.2017.1356303,14468719,2017,2008,M,62120101,2,2,Psychology,Social Psychology,0.0,United States,Professional Fields,Management,United States
lei,10.1002/asi.23692,15813322,2017,2017,M,60047225,4,4,Professional Fields,Information Science & Library Science,4.712,China,Professional Fields,Information Science & Library Science,China
lei,10.1145/2757282,15761677,2015,2011,M,55662698,1,5,Engineering and Technology,Computers,0.326,China,Engineering and Technology,Computers,United States
lauren m.,10.1016/j.smr.2016.09.001,41417247,2017,2014,F,60937106,2,2,Professional Fields,Management,1.521,United States,Professional Fields,Management,nan
lauren m.,10.1016/j.smr.2015.03.002,41417247,2016,2014,F,56908994,2,2,Professional Fields,Management,3.524,United States,Professional Fields,Management,nan
lauren m.,10.1177/2167479513508393,41417247,2015,2014,F,61337428,2,3,Professional Fields,Communication,1.693,United States,Professional Fields,Management,nan
lauren m.,10.1177/2167479512466387,41417247,2014,2014,F,61337119,5,5,Professional Fields,Communication,1.787,United States,Professional Fields,Management,nan
ying,10.1016/j.neucom.2016.04.067,12406570,2017,2011,F,59749027,3,5,Clinical Medicine,Neurology & Neurosurgery,0.217,China,Biology,Miscellaneous Biology,China
naci,10.1016/j.giq.2013.05.014,355607,2013,2013,UNK,51636976,2,2,Professional Fields,Law,4.213,Turkey,Professional Fields,Law,Turkey
young-shin,10.1016/j.tele.2016.09.003,38988165,2017,2016,UNI,60593005,1,2,Professional Fields,Information Science & Library Science,1.767,Netherlands,Professional Fields,Communication,Netherlands
young-shin,10.1080/15205436.2013.816743,38988077,2014,2014,UNI,53002843,2,2,Professional Fields,Communication,0.325,United States,Professional Fields,Communication,United States
amalia,10.1002/asi.23620,49592344,2016,2013,F,59175323,7,9,Professional Fields,Information Science & Library Science,1.199,Spain,Professional Fields,Information Science & Library Science,Spain
marina bagic,10.1108/oir-02-2016-0050,2980671,2016,2014,F,59208393,1,2,Professional Fields,Information Science & Library Science,1.799,Croatia,Clinical Medicine,Neurology & Neurosurgery,Croatia
vedran,10.1108/oir-02-2016-0050,3919233,2016,2008,UNK,59208393,2,2,Professional Fields,Information Science & Library Science,1.799,Croatia,Engineering and Technology,Computers,Croatia
michal,10.3390/ijgi6080236,14542410,2017,2017,UNI,61260908,1,2,Earth and Space,Geology,0.958,Poland,Earth and Space,Geology,Poland
maurizio,10.1108/md-10-2016-0699,7142580,2017,2015,M,61513210,1,3,Professional Fields,Management,0.0,Italy,Professional Fields,Management,Italy
john,10.1108/md-10-2016-0699,32612012,2017,2010,M,61513210,2,3,Professional Fields,Management,0.0,Australia,Social Sciences,Political Science and Public Administration,Australia
carlota,10.3389/fpsyg.2015.01127,11804274,2015,2010,F,55264731,3,3,Psychology,General Psychology,0.345,Spain,Engineering and Technology,Electrical Engineering & Electronics,Spain
carlota,10.1089/cyber.2010.0346,11804274,2011,2010,F,47204191,2,3,Professional Fields,Communication,0.524,Spain,Engineering and Technology,Electrical Engineering & Electronics,Spain
maria-del-carmen,10.3389/fpsyg.2015.01127,17232786,2015,2011,F,55264731,1,3,Psychology,General Psychology,0.345,Spain,Professional Fields,Communication,Spain
maria-del-carmen,10.1089/cyber.2010.0346,17232786,2011,2011,F,47204191,1,3,Professional Fields,Communication,0.524,Spain,Professional Fields,Communication,Spain
stephen,10.1080/17549507.2017.1413137,8363504,2018,2009,M,62500069,3,4,Health,Rehabilitation,3.411,Australia,Professional Fields,Management,Australia
stephen,10.1080/07434618.2016.1273386,8363504,2017,2009,M,59941859,4,4,Health,Speech-Language Pathology and Audiology,2.216,Australia,Professional Fields,Management,Australia
bartosz w.,10.1177/1461444815598755,14994519,2016,2011,M,59757567,2,2,Professional Fields,Communication,0.0,United States,Professional Fields,Communication,United States
dongwon,10.1016/j.chb.2015.12.031,21928349,2016,2016,UNK,56316350,4,5,Psychology,Human Factors,0.777,United States,Psychology,Human Factors,United States
margaret k.,10.1097/tgr.0000000000000173,39093805,2018,2015,F,62565317,1,5,Health,Geriatrics & Gerontology,0.0,United States,Health,Geriatrics & Gerontology,United States
jonathan,10.1097/tgr.0000000000000173,50843828,2018,2018,M,62565317,2,5,Health,Geriatrics & Gerontology,0.0,United States,Health,Geriatrics & Gerontology,United States
reda,10.1097/tgr.0000000000000173,25231302,2018,2018,F,62565317,3,5,Health,Geriatrics & Gerontology,0.0,United States,Health,Geriatrics & Gerontology,United States
alok,10.1097/tgr.0000000000000173,10397486,2018,2018,M,62565317,4,5,Health,Geriatrics & Gerontology,0.0,United States,Health,Geriatrics & Gerontology,United States
ankit,10.1097/tgr.0000000000000173,22206243,2018,2018,M,62565317,5,5,Health,Geriatrics & Gerontology,0.0,United States,Health,Geriatrics & Gerontology,United States
susan,10.1080/17549507.2017.1413137,28530484,2018,1996,F,62500069,4,4,Health,Rehabilitation,3.411,Australia,Health,Rehabilitation,nan
susan,10.1080/07434618.2016.1273386,28530484,2017,1996,F,59941859,2,4,Health,Speech-Language Pathology and Audiology,2.216,Australia,Health,Rehabilitation,nan
susan,10.3109/17518423.2013.861529,28530484,2014,1996,F,52393093,3,3,Health,Rehabilitation,1.555,Australia,Health,Rehabilitation,nan
amin,10.1109/access.2017.2778011,31654154,2018,2018,m,62342927,1,5,Engineering and Technology,Computers,14.759,South Korea,Engineering and Technology,Electrical Engineering & Electronics,Pakistan
jamil,10.1109/access.2017.2778011,38143727,2018,2015,M,62342927,2,5,Engineering and Technology,Computers,14.759,South Korea,Engineering and Technology,Computers,South Korea
sung wook,10.1109/access.2017.2778011,3677891,2018,2003,m,62342927,5,5,Engineering and Technology,Computers,14.759,South Korea,Engineering and Technology,Computers,nan
muhammad,10.1109/access.2017.2778011,50889380,2018,2010,M,62342927,4,5,Engineering and Technology,Computers,14.759,Pakistan,Biology,Botany,Pakistan
dongxu,10.1109/access.2017.2785813,10743865,2018,2018,M,62343256,1,3,Engineering and Technology,Computers,0.922,China,Engineering and Technology,Computers,China
wenli,10.1109/access.2017.2785813,5854836,2018,2017,F,62343256,3,3,Engineering and Technology,Computers,0.922,China,Engineering and Technology,Computers,China
suhas,10.1145/3108364,25458110,2018,2017,M,62344687,1,5,Engineering and Technology,Computers,0.0,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
suhas,10.1109/tkde.2017.2701375,25458110,2017,2017,M,61339412,1,5,Engineering and Technology,Electrical Engineering & Electronics,0.306,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
xia,10.1145/3108364,50856148,2018,2016,F,62344687,2,5,Engineering and Technology,Computers,0.0,United States,Engineering and Technology,Computers,United States
xia,10.1109/tkde.2017.2701375,50856148,2017,2016,F,61339412,3,5,Engineering and Technology,Electrical Engineering & Electronics,0.306,United States,Engineering and Technology,Computers,United States
xia,10.1007/s10115-015-0899-3,50856148,2016,2016,F,59060982,3,6,Engineering and Technology,Computers,0.0,United States,Engineering and Technology,Computers,United States
xia,10.1007/s11704-011-1167-7,50864177,2012,2012,F,48005338,4,5,Engineering and Technology,Computers,2.081,United States,Engineering and Technology,Computers,United States
jiliang,10.1145/3108364,23105642,2018,2012,M,62344687,3,5,Engineering and Technology,Computers,0.0,United States,Engineering and Technology,Computers,United States
jiliang,10.1109/tkde.2017.2701375,23105642,2017,2012,M,61339412,4,5,Engineering and Technology,Electrical Engineering & Electronics,0.306,United States,Engineering and Technology,Computers,United States
jiliang,10.1109/tkde.2014.2320728,23105642,2014,2012,M,53583534,1,2,Engineering and Technology,Electrical Engineering & Electronics,1.792,United States,Engineering and Technology,Computers,United States
jiliang,10.1145/2630421,23105642,2014,2012,M,53617719,3,4,Engineering and Technology,Computers,0.269,United States,Engineering and Technology,Computers,United States
jiliang,10.1145/2629587,23105642,2014,2012,M,53496046,1,2,Engineering and Technology,Computers,0.269,United States,Engineering and Technology,Computers,United States
jiliang,10.1007/s11704-011-1167-7,23105642,2012,2012,M,48005338,1,5,Engineering and Technology,Computers,2.081,United States,Engineering and Technology,Computers,United States
suhang,10.1145/3108364,47599398,2018,2017,UNK,62344687,4,5,Engineering and Technology,Computers,0.0,United States,Clinical Medicine,Neurology & Neurosurgery,United States
suhang,10.1109/tkde.2017.2701375,47663395,2017,2017,UNK,61339412,2,5,Engineering and Technology,Electrical Engineering & Electronics,0.306,United States,Engineering and Technology,Electrical Engineering & Electronics,United States
taewoo,10.1080/10584609.2017.1334729,18848805,2018,2018,UNK,62501051,1,4,Social Sciences,Political Science and Public Administration,0.0,United States,Social Sciences,Political Science and Public Administration,United States
erika franklin,10.1080/10584609.2017.1334729,8798741,2018,2006,F,62501051,2,4,Social Sciences,Political Science and Public Administration,0.0,United States,Health,Health Policy & Services,nan
erika franklin,10.1108/oir-11-2015-0348,8798741,2016,2006,F,59208310,5,7,Professional Fields,Information Science & Library Science,2.099,United States,Health,Health Policy & Services,nan
michael m.,10.1080/10584609.2017.1334729,48413552,2018,2002,M,62501051,3,4,Social Sciences,Political Science and Public Administration,0.0,United States,Social Sciences,Sociology,nan
travis n.,10.1080/10584609.2017.1334729,32819703,2018,2002,M,62501051,4,4,Social Sciences,Political Science and Public Administration,0.0,United States,Social Sciences,Political Science and Public Administration,nan
mehmet,10.1080/17524032.2016.1220966,5945791,2018,2016,M,62343485,1,2,Professional Fields,Communication,3.256,Australia,Professional Fields,Management,Australia
christine c.,10.3390/ijerph15010162,6421958,2018,2009,F,62225059,1,3,Earth and Space,Environmental Science,1.38,United States,Clinical Medicine,General & Internal Medicine,United States
cora-ann,10.3390/ijerph15010162,44956726,2018,2016,F,62225059,2,3,Earth and Space,Environmental Science,1.38,United States,Clinical Medicine,Obstetrics & Gynecology,United States
nadav,10.3390/ijerph15010162,29422606,2018,2018,UNK,62225059,3,3,Earth and Space,Environmental Science,1.38,United States,Earth and Space,Environmental Science,United States
stephanie,10.4103/nah.nah_32_17,43635652,2018,2018,F,62341842,5,7,Clinical Medicine,Environmental & Occupational Health,0.767,United States,Clinical Medicine,Environmental & Occupational Health,United States
adeyemi,10.4103/nah.nah_32_17,16527100,2018,2018,uni,62341842,4,7,Clinical Medicine,Environmental & Occupational Health,0.767,United States,Clinical Medicine,Environmental & Occupational Health,United States
felicia,10.4103/nah.nah_32_17,6687612,2018,2018,F,62341842,6,7,Clinical Medicine,Environmental & Occupational Health,0.767,United States,Clinical Medicine,Environmental & Occupational Health,United States
laura,10.1016/j.apgeog.2017.11.004,42651565,2018,2018,F,62306021,3,3,Social Sciences,Geography,7.558,United States,Social Sciences,Geography,United States
songzheng,10.1016/j.artmed.2017.10.003,14046376,2018,2016,nan,62294962,2,3,Engineering and Technology,Computers,0.922,China,Engineering and Technology,Computers,China
gang,10.1016/j.artmed.2017.10.003,21675343,2018,2010,M,62294962,3,3,Engineering and Technology,Computers,0.922,China,Professional Fields,Management,China
gang,10.1007/s11704-016-5198-y,21702307,2016,2016,M,57681877,5,8,Engineering and Technology,Computers,0.0,United States,Engineering and Technology,Computers,United States
gang,10.1109/tcsvt.2015.2412831,21675514,2016,2012,M,56718198,2,3,Engineering and Technology,Electrical Engineering & Electronics,5.428,Singapore,Engineering and Technology,Computers,Singapore
gang,10.1109/tkde.2011.228,21675514,2013,2012,M,49974825,4,6,Engineering and Technology,Electrical Engineering & Electronics,0.409,Singapore,Engineering and Technology,Computers,Singapore
gang,10.1109/tpami.2012.29,21675514,2012,2012,M,49175079,1,3,Engineering and Technology,Computers,1.457,Singapore,Engineering and Technology,Computers,Singapore
yao,10.3390/su10010043,24155494,2018,2018,M,62296291,1,3,Earth and Space,Environmental Science,0.69,China,Earth and Space,Environmental Science,China
yao,10.1089/cyber.2016.0698,24151646,2017,2017,M,60571921,2,3,Professional Fields,Communication,0.668,United States,Professional Fields,Communication,United States
hang,10.3390/su10010043,37488342,2018,2018,M,62296291,2,3,Earth and Space,Environmental Science,0.69,China,Earth and Space,Environmental Science,China
edwin h. w.,10.3390/su10010043,15319942,2018,1999,M,62296291,3,3,Earth and Space,Environmental Science,0.69,China,Engineering and Technology,Civil Engineering,nan
lekha r.,10.1016/j.compeleceng.2017.03.009,39185169,2018,2018,nan,62294084,1,3,Engineering and Technology,Electrical Engineering & Electronics,2.795,United Arab Emirates,Engineering and Technology,Electrical Engineering & Electronics,United Arab Emirates
sujala d.,10.1016/j.compeleceng.2017.03.009,43115012,2018,2018,nan,62294084,2,3,Engineering and Technology,Electrical Engineering & Electronics,2.795,United Arab Emirates,Engineering and Technology,Electrical Engineering & Electronics,United Arab Emirates
siddhanth d.,10.1016/j.compeleceng.2017.03.009,43115013,2018,2018,nan,62294084,3,3,Engineering and Technology,Electrical Engineering & Electronics,2.795,United Arab Emirates,Engineering and Technology,Electrical Engineering & Electronics,United Arab Emirates
cassandra,10.1080/1535685x.2017.1348577,7986123,2018,2018,F,62253182,1,1,Humanities,Literature,0.0,Australia,Humanities,Literature,Australia
sumeer,10.1108/el-12-2015-0244,3960048,2018,2010,M,62287903,1,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
muzaffer,10.1108/el-12-2015-0244,33642438,2018,2018,UNK,62287903,3,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
mir,10.1108/el-12-2015-0244,29554724,2018,2018,UNK,62287903,4,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
muntaha,10.1108/el-12-2015-0244,2491723,2018,2018,UNK,62287903,6,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
shueb,10.1108/el-12-2015-0244,11737602,2018,2018,nan,62287903,7,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
tariq ahmad,10.1108/el-12-2015-0244,35401086,2018,2013,M,62287903,2,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
suhail,10.1108/el-12-2015-0244,17732540,2018,2014,M,62287903,5,7,Professional Fields,Information Science & Library Science,1.955,India,Professional Fields,Information Science & Library Science,India
lei vincent,10.1108/intr-08-2016-0248,24071834,2018,2017,M,62245003,1,2,Engineering and Technology,Electrical Engineering & Electronics,0.0,China,Psychology,Human Factors,China
tien ee dominic,10.1108/intr-08-2016-0248,6051913,2018,2009,F,62245003,2,2,Engineering and Technology,Electrical Engineering & Electronics,0.0,China,Professional Fields,Communication,nan
tien ee dominic,10.1177/1077699016628823,6051913,2016,2009,F,57608670,1,1,Professional Fields,Communication,0.0,China,Professional Fields,Communication,nan
rainy,10.1080/09291016.2017.1333566,34413911,2018,2018,UNK,62278492,1,2,Biomedical Research,General Biomedical Research,0.0,India,Biomedical Research,General Biomedical Research,India
atanu kumar,10.1080/09291016.2017.1333566,20790344,2018,1981,M,62278492,2,2,Biomedical Research,General Biomedical Research,0.0,India,Biomedical Research,General Biomedical Research,nan
rahul,10.1080/02681102.2017.1286284,36849467,2018,2004,M,62233680,1,5,Professional Fields,Information Science & Library Science,0.0,India,Engineering and Technology,Computers,nan
rupal,10.1080/02681102.2017.1286284,2254526,2018,2018,F,62233680,3,5,Professional Fields,Information Science & Library Science,0.0,India,Professional Fields,Information Science & Library Science,India
abhipsa,10.1080/02681102.2017.1286284,45773607,2018,2018,F,62233680,2,5,Professional Fields,Information Science & Library Science,0.0,India,Professional Fields,Information Science & Library Science,India
sunil k.,10.1080/02681102.2017.1286284,25221976,2018,2018,M,62233680,4,5,Professional Fields,Information Science & Library Science,0.0,India,Professional Fields,Information Science & Library Science,India
chetan,10.1080/02681102.2017.1286284,17798760,2018,2018,M,62233680,5,5,Professional Fields,Information Science & Library Science,0.0,India,Professional Fields,Information Science & Library Science,India
jo,10.1108/jd-05-2017-0080,42786869,2018,2014,F,62253120,1,1,Professional Fields,Information Science & Library Science,1.955,United Kingdom,Professional Fields,Law,nan
muhterem,10.1108/itp-02-2017-0029,36264998,2018,2018,UNK,62234370,1,2,Professional Fields,Information Science & Library Science,1.955,Finland,Professional Fields,Information Science & Library Science,Finland
nihal dulkadir,10.1108/itp-02-2017-0029,11549885,2018,2017,M,62234370,2,2,Professional Fields,Information Science & Library Science,1.955,Turkey,Psychology,Human Factors,Turkey
anwar,10.1080/14616742.2017.1371624,1086671,2018,2015,M,62243619,1,2,Social Sciences,Miscellaneous Social Sciences,0.0,United States,Social Sciences,Miscellaneous Social Sciences,United States
carolette r.,10.1080/14616742.2017.1369890,26723536,2018,2018,nan,62243620,1,1,Social Sciences,Miscellaneous Social Sciences,0.0,United States,Social Sciences,Miscellaneous Social Sciences,United States
kevin,10.1080/10410236.2016.1266577,13067268,2018,2014,M,62233563,1,4,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
kevin,10.1080/10410236.2016.1146567,13067268,2017,2014,M,59989963,1,3,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
gregory a.,10.1080/10410236.2016.1266577,27292912,2018,2018,M,62233563,3,4,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
lauren,10.1080/10410236.2016.1266577,21396794,2018,2018,F,62233563,4,4,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
jenna e.,10.1080/10410236.2016.1266577,37166442,2018,2015,F,62233563,2,4,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
jenna e.,10.1080/10410236.2016.1146567,37166442,2017,2015,F,59989963,2,3,Health,Health Policy & Services,0.0,United States,Health,Health Policy & Services,United States
ehsan,10.1007/s11135-016-0465-4,51491145,2018,2009,M,62218339,1,3,Social Sciences,Sociology,0.0,Iran,Professional Fields,Management,Iran
ehsan,10.1016/j.chb.2017.03.014,51491145,2017,2009,M,60795613,1,2,Psychology,Human Factors,0.346,Iran,Professional Fields,Management,Iran
ehsan,10.1016/j.neucom.2016.06.024,51491145,2016,2009,M,59099559,2,3,Clinical Medicine,Neurology & Neurosurgery,0.855,Iran,Professional Fields,Management,Iran
alireza,10.1007/s11135-016-0465-4,35551506,2018,2004,M,62218339,2,3,Social Sciences,Sociology,0.0,Iran,Engineering and Technology,Computers,nan
alireza,10.1016/j.chb.2017.03.014,35551506,2017,2004,M,60795613,2,2,Psychology,Human Factors,0.346,Iran,Engineering and Technology,Computers,nan
alireza,10.1016/j.neucom.2016.06.024,35551506,2016,2004,M,59099559,3,3,Clinical Medicine,Neurology & Neurosurgery,0.855,Iran,Engineering and Technology,Computers,nan
ali,10.1007/s11135-016-0465-4,29037198,2018,2018,M,62218339,3,3,Social Sciences,Sociology,0.0,Iran,Social Sciences,Sociology,Iran
jia-xiang,10.12973/ejmste/79321,3364998,2018,2016,M,62178649,1,2,Professional Fields,Education,0.0,China,Professional Fields,Education,nan
kuo-kuang,10.12973/ejmste/79321,50125423,2018,2016,M,62178649,2,2,Professional Fields,Education,0.0,Taiwan,Professional Fields,Education,nan
k. h. vincent,10.1080/0142159x.2017.1395001,1495561,2018,2014,M,62177477,1,6,Clinical Medicine,General & Internal Medicine,3.777,United States,Clinical Medicine,General & Internal Medicine,nan
pue,10.1080/0142159x.2017.1395001,1581594,2018,2018,UNK,62177477,2,6,Clinical Medicine,General & Internal Medicine,3.777,United States,Clinical Medicine,General & Internal Medicine,United States
jeremy j.,10.1080/0142159x.2017.1395001,8335237,2018,2007,M,62177477,6,6,Clinical Medicine,General & Internal Medicine,3.777,United States,Clinical Medicine,Neurology & Neurosurgery,nan
gary,10.1080/0142159x.2017.1395001,7788916,2018,2018,M,62177477,3,6,Clinical Medicine,General & Internal Medicine,3.777,United States,Clinical Medicine,General & Internal Medicine,United States
michael l.,10.1080/0142159x.2017.1395001,12994086,2018,2018,M,62177477,4,6,Clinical Medicine,General & Internal Medicine,3.777,United States,Clinical Medicine,General & Internal Medicine,United States
r. mark,10.1080/0142159x.2017.1395001,38931955,2018,1984,M,62177477,5,6,Clinical Medicine,General & Internal Medicine,3.777,Canada,Clinical Medicine,Neurology & Neurosurgery,nan
hyunseung,10.1007/s11042-016-4321-2,27413563,2018,2000,UNK,62081723,8,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,South Korea,Engineering and Technology,Computers,nan
maqbool,10.1007/s11042-016-4321-2,9242808,2018,2018,UNK,62081723,2,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,South Korea,Engineering and Technology,Electrical Engineering & Electronics,South Korea
mohamed elsayed abdelrahman,10.1007/s11042-016-4321-2,50914344,2018,2018,nan,62081723,3,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,South Korea,Engineering and Technology,Electrical Engineering & Electronics,South Korea
asfandyar,10.1007/s11042-016-4321-2,26341842,2018,2018,UNK,62081723,4,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,Pakistan,Engineering and Technology,Electrical Engineering & Electronics,Pakistan
oresti,10.1007/s11042-016-4321-2,29369727,2018,2012,nan,62081723,5,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,Netherlands,Professional Fields,Management,Spain
adil mehmood,10.1007/s11042-016-4321-2,26335951,2018,2010,M,62081723,6,8,Engineering and Technology,Electrical Engineering & Electronics,0.0,Russia,Engineering and Technology,Computers,South Korea
yizhao,10.1080/13658816.2017.1406943,16524914,2018,2018,UNK,62103291,1,5,Social Sciences,Geography,3.779,United States,Social Sciences,Geography,United States
yizhao,10.1002/cpe.3287,16513818,2014,2014,UNK,53019015,6,8,Engineering and Technology,Computers,2.015,United States,Engineering and Technology,Computers,United States
anand,10.1080/13658816.2017.1406943,43835950,2018,2010,M,62103291,3,5,Social Sciences,Geography,3.779,United States,Engineering and Technology,Computers,United States
anand,10.1371/journal.pone.0181657,43835950,2017,2010,M,61025449,4,5,Biomedical Research,General Biomedical Research,1.274,United States,Engineering and Technology,Computers,United States
anand,10.1016/j.compenvurbsys.2015.01.002,43835950,2015,2010,M,54426231,4,6,Social Sciences,Planning & Urban Studies,3.716,United States,Engineering and Technology,Computers,United States
anand,10.1002/cpe.3287,43835950,2014,2010,M,53019015,1,8,Engineering and Technology,Computers,2.015,United States,Engineering and Technology,Computers,United States
junjun,10.1080/13658816.2017.1406943,714700,2018,2008,M,62103291,4,5,Social Sciences,Geography,3.779,United States,Physics,General Physics,China
junjun,10.1371/journal.pone.0181657,714700,2017,2008,M,61025449,3,5,Biomedical Research,General Biomedical Research,1.274,United States,Physics,General Physics,China
junjun,10.1080/13658816.2017.1282615,714700,2017,2008,M,60374338,1,4,Social Sciences,Geography,6.094,United States,Physics,General Physics,China
junjun,10.3390/ijgi5100187,714700,2016,2008,M,59337109,1,2,Earth and Space,Geology,0.913,United States,Physics,General Physics,China
junjun,10.1111/gean.12096,714700,2016,2008,M,57443935,3,4,Social Sciences,Geography,2.372,United States,Physics,General Physics,China
rebecca kay,10.1177/1461444816644697,12932469,2018,2014,nan,62071980,1,2,Professional Fields,Communication,6.511,United States,Professional Fields,Management,United States
marina,10.1177/1461444816660730,13286990,2018,2018,F,62071986,1,3,Professional Fields,Communication,0.0,Spain,Professional Fields,Communication,Spain
yukari,10.1177/1461444816660783,44956902,2018,2014,F,62071989,1,2,Professional Fields,Communication,1.628,Canada,Professional Fields,Communication,Canada
elizabeth,10.1177/1461444816661551,24922218,2018,2012,F,62071993,1,1,Professional Fields,Communication,6.511,United States,Humanities,Literature,nan
claire m.,10.1089/cyber.2016.0660,43709767,2018,2015,F,62074188,1,4,Professional Fields,Communication,0.0,United Kingdom,Social Sciences,Miscellaneous Social Sciences,United Kingdom
clara a.,10.1089/cyber.2016.0660,5821416,2018,2018,F,62074188,2,4,Professional Fields,Communication,0.0,United Kingdom,Professional Fields,Communication,United Kingdom
michaela,10.1089/cyber.2016.0660,50401784,2018,2004,F,62074188,3,4,Professional Fields,Communication,0.0,United Kingdom,Psychology,Developmental & Child Psychology,nan
yaniv,10.1089/cyber.2016.0660,25420196,2018,2002,UNK,62074188,4,4,Professional Fields,Communication,0.0,United Kingdom,Professional Fields,Management,nan
karlee j.,10.1089/cyber.2016.0665,5820356,2018,2018,UNK,62074191,1,4,Professional Fields,Communication,3.256,Australia,Professional Fields,Communication,Australia
alexander w.,10.1089/cyber.2016.0665,12804570,2018,2018,M,62074191,2,4,Professional Fields,Communication,3.256,Australia,Professional Fields,Communication,Australia
bonnie l.,10.1089/cyber.2016.0665,22923489,2018,1992,F,62074191,4,4,Professional Fields,Communication,3.256,Australia,Psychology,Social Psychology,nan
girish,10.1089/cyber.2016.0665,34590089,2018,2018,M,62074191,3,4,Professional Fields,Communication,3.256,Australia,Professional Fields,Communication,Australia
darren d.,10.1089/cyber.2016.0689,5235583,2018,2002,M,62074192,1,2,Professional Fields,Communication,3.256,United Kingdom,Health,Speech-Language Pathology and Audiology,nan
chris,10.1089/cyber.2016.0689,27063578,2018,2006,M,62074192,2,2,Professional Fields,Communication,3.256,United Kingdom,Psychology,Human Factors,nan
chris,10.1016/j.chb.2014.04.048,27063578,2014,2006,M,53357127,2,3,Psychology,Human Factors,4.296,United Kingdom,Psychology,Human Factors,nan
chris,10.1111/jcc4.12068,27063578,2014,2006,M,52407753,2,4,Professional Fields,Communication,4.06,United Kingdom,Psychology,Human Factors,nan
samuel c.,10.2134/agronj2017.08.0495,42878433,2018,2014,M,62035869,1,1,Biology,Agricult & Food Science,1.989,Canada,Biology,Agricult & Food Science,United States
andrew v.,10.1016/j.jacr.2017.09.035,16246128,2018,2018,M,62060318,2,5,Clinical Medicine,Radiology & Nuclear Medicine,1.077,United States,Clinical Medicine,Radiology & Nuclear Medicine,United States
stephen,10.1016/j.jacr.2017.09.035,45959036,2018,2018,M,62060318,3,5,Clinical Medicine,Radiology & Nuclear Medicine,1.077,United States,Clinical Medicine,Radiology & Nuclear Medicine,United States
michael d.,10.1016/j.jacr.2017.09.035,13657880,2018,2018,M,62060318,4,5,Clinical Medicine,Radiology & Nuclear Medicine,1.077,United States,Clinical Medicine,Radiology & Nuclear Medicine,United States
